tweets,sentiment
Turn Back Hoax: [SALAH] Dari Ratusan Ribu Tahanan Tidak Ada Satupun Aktivis Islam yang Dibebaskan di Tengah Wabah COVID-19 https://t.co/PB5EPvMeN9 https://t.co/CxNiAOIxu5,0
"RSPAD Gatot Soebroto Bantu Pasien Positif Covid-19 Melahirkan
ㅤㅤㅤㅤㅤㅤ
#TNIADMengabdiDanMembangunBersamaRakyat https://t.co/rHJwZqBGHg",2
Kementan Siapkan 3 Strategi Pangan Hadapi Dampak Corona https://t.co/npCK07RfC8,1
"@jokonurbianto Yaiya atuh, klo aku terindikasi covid udah pasti di karantina/isolasi",1
"@AbuFauzil Alhamdulillah survey @BurhanMuhtadi soal virus corona bisa menjadi kaburnya virus dari Indonesia
Dokter minggir...
Wkwkwk",1
Banyak yaaaa https://t.co/XXuPK1SH1E,1
"Pandemi virus Corona (COVID-19) tidak melulu membuat kehilangan pendapatan. Jika mau, banyaknya waktu luang di rumah bisa diambil untuk mulai membuka usaha. https://t.co/lKGBKB2sUm",2
"Imbas Pandemi Corona, 100 Ribu Karyawan Disney Tidak Digaji https://t.co/99c5Ip4Ye5",0
"Covid-19, Pentagon Perpanjang Pembatasan Perjalanan Hingga 30 Juni https://t.co/50TdZTN889",1
"@andrian1414H Jangan pernah menyerah Rhamadhn bulan mulia,
kita lawan bersama pandemi corona dengan selalu taat syariah !! #SambutRamadhanKita !! #PejuangRamadhanLawanCorona https://t.co/IXQTEzqG5a",2
"@AnakLolina @Spider__id Duh ternak covid.. 
Nanti sakit suruh pemerintah yg urus..  Mau gratis sembuh,  tapi diri sendiri engga dijaga... 
Dasar budat kadrun somplak...",2
@Rifkyardnsyh_ Corona selesai kapan hyung 👉👈,0
"""Jadi lebih mempersiapkan mental aja, supaya tetap happy di dalam rumah, tetap bisa beribadah total dalam rumah, harus dibawa seru juga..."" kata Zee Zee. #Ramadhan #ZeeZeeShahab

via @detikhot https://t.co/9IESLn4vyP",2
"09.41 #BeritaSONORA - Pendataan jumlah korban jiwa terdampak Covid-19 masih terbatas kepada korban terkonfirmasi positif. Padahal, detail kematian akibat Covid-19 perlu disiapkan, bahkan jika masih berstatus pasien dalam pengawasan. 
https://t.co/zQe2SUs2Jc",2
"Bantu Garda Terdepan penanganan covid-19 @KemensosRI memberikan bantuan 12.000 pcs masker &amp; 300 botol hand hanitizer untuk 3 Rumah Sakit rujukan penanganan pasien corona.

Bantuan diserahkan oleh Penasehat DWP Ibu Grace Batubara kpd masing² perwakilan RS.

@juliaribatubara https://t.co/aqYvHvtS90",2
@christyyputri Takut corona apa takut dimasukin yg panjang2,0
Pembebasan Napi Asimilasi Tambah Beban Pengamanan Polisi saat Pandemi COVID-19. #merahputih #Napi #Polisi #Covid_19 #YasonnaLaoly https://t.co/tUweHOELhK,0
"Sema idiots nya dengan Boneka di indonesia 😄😄

Presiden Trump menyarankan pasien terinfeksi Corona disuntik disinfektan agar tubuhnya bersih, ahli kesehatan sebut saran idiot dan sangat berbahaya.

https://t.co/B8rtdnXnY3",0
"Bersyukur aja kerja masih masuk walopun di tengah Corona,
Yang lain dah mulai PHK :((

Semoga sehat"" trus 😭",2
⁣*Berlaku selama pandemik COVID-10 dan hanya untuk pembelian produk non unit link,1
"Sholat tarawih berjamaah di bulan Ramadhan jadi hal biasa bagi umat muslim. Hanya saja yang berbeda kali ini ada ancaman virus Corona COVID-19. Begini kebijakannya:

via @detikHealth https://t.co/Aw9qey7xvG",1
"@DKIJakarta @JSCLounge @dinkesJKT @DinsosDKI1 @aniesbaswedan Astaga kok jadi begini sih Sikapnya...
Heiii..
PEMPROV DKI JAKARTA 
Warga butuh makan..
Bukan dicecoki pasien virus corona..
Sok perduli yg beginian..
Tolol nih semua nya..
Warga butuh sembako 
Donggo...",0
"Konsumsi minuman sehat juga penting dilakukan selama Pandemik #Covid19 ini, agar daya tahan tubuh selalu prima ya. Tapi jangan lupa air putihnya... #BersamaLawanCovid19 #PastiAdaJalan https://t.co/xPpNfqStfj",2
Aa Gym mengajak umat ambil hikmah ibadah Ramadhan di rumah. https://t.co/M6AFwcmUUL,2
"@ggoodboy__ Betulll, biar abis pandemi ini keluar keluar muka glowing",2
"Mari kita galakan gotong-royong yg menjadi ciri khas bangsa ini dan kita tingkatkan solidaritas untuk melawan pandemi covid-19
#SolidaritasAtasiCovid19
Mari Bersatu-padu untuk dlm menangani pandemi covid-19 di negeri ini 
#SolidaritasAtasiCovid19

https://t.co/zL9wytTr2M*",2
"Wahai Penguasa,
ketika wabah dan lapar meluas jadi bencana,
jangan lagi memoles wajah dengan citra,
lepas topengmu, buka mata dan rasa,
kurangi kata-kata apalagi janji kosong belaka,
saatnya nurani yang mesti bicara dan bekerja,
Hilang nyawa bukan sekedar angka statistik semata.",0
"DOKUMEN | Makalah Teknis International IDEA 1/2020 tentang Pemilu dan COVID-19

https://t.co/hp42eSWA2F",1
I didn't know I will say thi but... asimilasi Covid-19 di waktu sekarang ini justru malah menambah resah. Siapa pun yang punya ide tentang hal ini dan apapun kepentingan di dalamnya semoga dia dan keluarganya serta kita selalu dijaga Tuhan. I have no words selain mendoakan.,0
"Jika Vaksin Corona COVID-19 Tak Ditemukan, Sampai Kapan Manusia Dikarantina dan Jaga Jarak Sosial  https://t.co/syxkXfo7Rk #VirusCorona #COVID19",0
"Anggota Fraksi PPP @DPR_RI Komisi VII Anwar Idris berikan 10 ribu paket bantuan untuk warga aceh ditengah pandemi virus Corona

#pppeduli 
#pppberbagi 
#BersatuLawanCovid19 https://t.co/gtu4wbPjx9",2
Sebelum covid melanda. https://t.co/E36aV6EsZ7,1
Menteri Luar Negeri Amerika Serikat Mike Pompeo menuduh bahwa China mungkin telah mengetahui soal virus Corona pada November 2019. https://t.co/uCbUYlXbMR,1
"Semenjak ada corona, masuk gang buntu aja kudu di scan jidad.",0
@ZlatemT @na_dirs @hasanuddinali @afifhasbullah @noeruzzaman Ayo..insyaAllah ..nanti syukuran ..wabah corona ne bablas,2
Dubes China untuk Australia ancam Australia akan diboikot jika investigasi corona https://t.co/KeFHJHj3kS,1
"""MATCHA TEA"" ARAFAH TEA JADI BAHAN KASUR &amp; BANTAL KESEHATAN TEMBUS PASAR KOREA SELATAN

Ditengah pandemic COVID-19 ini, salah satu komoditas perkebunan yang satu ini tidak mau kalah bersaing, yaitu Teh. Melalui salah… https://t.co/q83SMJsP3o",1
Menhub Budi Karya Sembuh dari Corona: Ini Mukjizat https://t.co/j351HLgxQA,2
"Pandemi Covid-19 ini menciptakan sejarah baru terhadap Dunia, dan saat ini kita menjadi bagian dari sejarah itu",1
majulah indonesiaku dan merdeka dari virus covid-19. #RelawanBergerakLawanCovid #RelawanBergerakLawanCovid https://t.co/YBhuWPGMJ1,2
"Kenapa sih yg ngirim pesan itu pada ngajakin diskusi yg serius, tentang NWO, corona, kelistrikan, foto, buku, pusing kepala. Ane jg ngga pinter pinter amat. Sekali kali pgn juga diajakin ngebucin 😣",0
"KAMI TETAP ADA BERSAMA ANDA, LAWAN COVID-19
https://t.co/bAZIzO8oPq https://t.co/11vbgeRCAV",2
"Dinas Pendidikan DKI: Sekolah Bukan untuk Isolasi Pasien Positif Corona, Tapi ODP https://t.co/u824Uig6zq",0
"Gue kalo ngeliat berita gini tuh pengen marah dah rasanya. Ya Allah Pak Yasonna otaknya dimana ya sampe2 lagi pandemi gini napi malah dibebasin🙃
Gue jadi ngeri skrng begal udah pada comeback stage anjing https://t.co/tM0E3qK8TK",0
"@BBCIndonesia Kim Jong-un sakit tetapi telah dipastikan bukan karena Covid-19; telah dilakukan testing dan pengukuran temperatur jidat.  Hasilnya negatif.

Tentu saja tidak boleh lihat Kim Jong-un karena hak privasinya dan keamanan.

18:11
Sun, April 26, 2020
#kimjongun",1
"Nilai Mata Uang Merosot, Kematian Terkait Corona Meningkat di Inggris https://t.co/Ru6J5qTeO2",0
Corona cepet udahan kek pengen nyari duid nihhhh boke :( :( :(,0
"Hal positif yang kita lihat selama pandemi Covid-19:
1. Kesadaran atas kebersihan diri makin meningkat.
2. Kesadaran atas kesehatan mental makin meningkat.
3. Kekurangan ISP masing-masing mulai terekspos (sentil @IndiHome dan @FirstMediaCares )",2
"Yth Rekan-rekan GROUP IATF 16949 INDONESIA
Dalam rangka mengisi waktu kegiatan di rumah selama wabah Covid-19 ini, maka kami akan melakukan diskusi terkait CORETOOLS. Untuk minggu ini akan dilakukan Diskusi terkait… https://t.co/gt4ie2Ou9m",2
"@Robert_Mosses2 @DiniHrdianti PSBB,  KRL masih beroperasi penerbangan Internasional masih babas keluar masuk,  coba biji mana ? Mudik atau pulang kampung telat larang,  kebijakan daerah beradu dengan pusat.. Lalu secara nasional gimana pengananan Corona?",0
@Onyekcuuu gak mauuu,1
Gakuat nahan rindu kalau corona gini woyy..,0
Virus Covid-19: Agar manusia Kembali ke Fitrah https://t.co/uTlr8pEtcC https://t.co/ncnUehra3l,1
"Ada yg di daerahnya bener2 gak ada sholat teraweh berjamaah ( #dirumahaja ),ada yg tetap menjalankan berjamaah di masjid tanpa pengeras suara sama sekali",1
"Gaess catat ya..!!!

Layanan informasi dan pengaduan bantuan sosial dalam penanganan Covid-19 dapat menghubungi kontak berikut.

Layanan informasi melalui Whatsapp 0811-10-222-10.
Layanan Aduan melalui email bansoscovid19@kemsos.go.id.

@juliaribatubara
@KemensosRI https://t.co/SfkQs4GHMr",1
"2. Pesta Perkawinan Batal Akibat COVID-19, Bagaimana ‘Nasib’ DP ke Vendor? https://t.co/7Kfn0aKPX0 - #Top5FacebookShares",0
Puncak Pandemi Corona di Prediksi Bulan Mei https://t.co/JqdhwEye4j https://t.co/reJGniYFSX,1
"DJP berkomitmen untuk mendukung dunia usaha di tengah merebaknya virus Corona melalui gelontoran relaksasi dan insentif yang tepat sasaran.
Simak berita selengkapnya di sini https://t.co/ILxgvt8avE

#penanganancorona #corona #covid19 #insentifpajak #pajak #ditjenpajak #djp https://t.co/IqK0sVXLs9",2
"@03__nakula @tahupetismanis @triwul82 @bokulos_ @andri_attitude @anto_winarno @baby_alien28 @KangBasuki3 @V_Stone_Kardol @mochamadarip inisih elu bodo amat sama yg lain. Pengen mojokin yg Islam aja.
 elu lupain kami yg Kristen yg jadi carrier nih virus. di NTT ada misa uskup ruteng, ada acara jemaat di Bogor, yg pendetanya sudah ada yg meninggal, di jabar setengah jemaat gereja positif covid19.",0
"2) Jk stimulus brtujuan utk mendorong ekonomi nasional, mk strategi survival utk bantu masy selama PSBB. Dbutuhkn uang tunai utk kebutuhan sehari2. Sementara stop bayar cicilan2 bank, pajak phasilan dll yg jd beban masy sehari2. Ini agar PSBB efektif turunkan penyerbaran Covid19.",1
"Menandatangani nota kesepahaman bersama di Kantor Kementerian Perdagangan, Jakarta, Senin (20/4), GoJek berkomitmen untuk membantu pemerintah dalam memenuhi kebutuhan masyarakat di masa pandemi #Covid19, yang bersamaan dengan datangnya bulan suci Ramadan serta lebaran 2020.",2
"Legislator Partai Bulan Bintang Batu bara berbagi rezeki pada warga miskin terdampak Covid 19

@OfficialDPP_PBB
@Yusrilihza_Mhd
@fathonianton01
@meridianramadir
@indraalfarius
@LuhCinta_80
@MochamadLoetfi4

https://t.co/JbRCVevBMl",2
Puas2in deh masak2an nya abis quarantine ini selesai boro2 kan mau masak banyak wkwkwk,2
Bapelkes Bengkulu Disulap Jadi Tempat Karantina Mandiri ODP &amp; OTG Corona #TauCepatTanpaBatas #BeritaTerkini #BeritaDaerah . https://t.co/OiRqbCkxpa,1
"Dapatkan kemudahan akses kerja dari rumah terhadap proses yang harus dikerjakan oleh Property Management, melalui solusi Bimasakti on cloud dari Realta.
#covid19 #kerjadarirumah #propertmanagement #backoffice #Billing #administrasi #accounting #buildingmanagement #cloudsolution https://t.co/y5hzZaVXqe",1
"Halo Adscommers!
Rebahan di rumah karna Covid-19 ga berarti kita harus santuy!

Supaya tetap kreatif dan produktif, UMB lewat AdsCompUMB2020 pengen ajak Adscommers yang lagi #stayathome nih.

-cont-",2
"Msih ku tak percya cinta dumay
wlau, kau bilg mo dtg ke rumhku, blm bsa krn alan corona....
maaf aku ya...
aku gak percya
ku perlu bukti bukn janji🙏",0
"Corona ciptaan Allah
Ramadhan mulia
Mudah bagi Allah hilangkan Corona ditengah Ramadhan &gt;&gt; #SambutRamadhanKita &lt;&lt; di Jakarta juga lagi trending #RamadhanIndonesiaIstimewa ayo didukung #bi60 &lt;&lt; https://t.co/yC8UOQSAos",2
"@dinikopi Mau mediheal BTS, biar muka kinclong walaupun #dirumahaja #GiveawayDinikopi",1
senyampang nekat. sanggup tulari warga negara kedaluwarsa kalian dengan corona ? trus bilamana individualis bilamana sedia selesainya ini pandemi corona ? #StopMudikCekalCorona #StopMudikCekalCorona https://t.co/RXVWfTAdD0,0
"#SambutRamadhanKita 

Walau pandemi tetep puasa ya, Gaess #RamadhanIndonesiaIstimewa https://t.co/U0nq5VFk78",2
@beurgurlbby Jgn aku corona :(,0
"""Masyarakat tidak perlu datang ke Masjid Istiqlal, karena masjid kali ini pasti kami tutup"" https://t.co/qd30sXVTZX",0
hiburan di tengah pandemik corona yang menganas https://t.co/6lgjILYlc5,1
"Jangan sampai ketinggalan, karena akan ada Afgan dan Andien yang akan ajak kamu nyanyi bareng. Kamu jugabisa berdonasi melawan Covid-19 melalui https://t.co/Xo7fAsABIk, serta berkesempatan menangkan berkahnya sepeda motor Yamaha Lexi dan Saldo LinkAja Rp500.000 untuk 100 pemenang",2
@truckinq Gabole keluar Corona,0
Nasib anak kost di tengah wabah.. https://t.co/rmCQIldlFF,0
"Verrell Bramasta berharap tetap bisa menjalankan ibadah puasa di bulan Ramadhan. Di tengah pandemi virus Corona, ia pun menargetkan ibadahnya. #Ramadhan #VerrellBramasta https://t.co/DXgdTBOQKY",1
"Banyak cobaan banget di masa pandemi kyk gini,sedih kalo diceritain mah .",0
"@DakwahBabel Berperang lawan Corona. Mengajari kita untuk selalu siap dlm keadaan bagaimanapun

Ramadhan Kita Istimewa
#RamadhanIndonesiaIstimewa",2
"Selamat menjalankan ibadah puasa, InsyaAllah ba'da Ramadhan Covid-19 segera berlalu seiring berlalunya kelaliman negeri ini, harus kita lakukan secara nyata kalau #RakyatTolakJKW_LBP https://t.co/WGr2cGpZB0",2
"Untuk tahun ini, harus #RamadanDiRumah dulu.

Jaga jarak, tapi gak perlu ada jarak dengan Sang Pencipta, karena dalam keadaan apa pun, Ia selalu dekat dengan kita.

Apa hikmah Ramadan saat harus #dirumahaja?

#Danamon #RamadanDiRumah  #PhysicalDistancing #SaatnyaPegangKendali https://t.co/FPriLxwqOg",2
"@RatihSinuraya Selamat siang. Tersedia rute TRS5: Depok - Kp.Melayu - Senen. Jam keberangkatan rute tersebut adalah pukul 05:00 &amp; 05:30 WIB dan pukul 19:00 &amp; 19:30 WIB. Informasi lebih lengkap, dapat dilihat pada https://t.co/FKTg7Nh0kk .Terima kasih :) -NV",1
"Wabah pandemi virus Corona (COVID-19) sampai saat ini masih menyebar di seluruh dunia termasuk Indonesia yang menyebabkan krisis. Lalu bagaimana kita menghadapi masa krisis akibat COVID-19? Yuk, langsung klik link… https://t.co/g9WHcI0oqy",1
Taput Perpanjang Tanggap Darurat Covid-19 hingga 4 Mei https://t.co/xCxhSmSp7p,1
"#Foto Sejumlah masjid di Yogyakarta ditutup dan tidak melaksanakan salat tarawih akibat wabah Corona. Sejumlah jamaah tetap melaksanakan salat di halaman masjid. #VirusCorona #SholatTarawih

Selengkapnya di https://t.co/GN3ymCDI28 https://t.co/8P9H2gMDgG",1
"Monitoring pengangkutan sampah Griya Rusun Tipar RW 07 Kel Cakung Barat, mobil T.1212, Minggu, 26 april 2020 
@aniesbaswedan @Herwansyah @yogiikhwan @MumuhMulyana4 @dinaslhdki @SudinLHTimur @ProKlim_KLHK
#YukPakaiMasker 
#Dirumahaja 
#LawanCovid19
#JakartaTanggapCorona https://t.co/7BKtHDbJqD",1
@VIVAcoid Kemhan ga ngasih kajian rencana kontijensi dalam rangka menangani virus corona sugan pa?,1
"@RizkiAsihan Betu pak. Dan yang lebih kasihan, Petugas Medis, yang sangat rawan sekali tertular. Beliau2 telah banyak yang jadi korban Corona. Kalau mereka banyak yanh sakit. Siapa yang mau merawat kita?",1
"Ekspor Industri Manufaktur Meningkat 10 Persen di Tengah Pandemi Covid-19

Cek selengkapnya di https://t.co/Lkn0qR3zJ2 https://t.co/kwqkNCYYgn",1
"Wabah virus Corona tidak menyurutkan niat para perusahaan untuk mencatatkan sahamnya di pasar modal. Begini data dan faktanya: #IPO 

 https://t.co/Edm0iouzRP",0
"Dalam siroh Nabi SAW, banyak peperangan yang dilakukan di masa sulit bahkan dilakukan saat bulan Ramadhan. 

Yuk, kita tetap semangat menjalankan puasa di bulan puasa saat Pandemi seperti sekarang. &gt;&gt; Ramadhan Kita Istimewa &lt;&lt; 

#br33 https://t.co/wvlYmsM12t",2
"Pandemi Mengubah Wajah Ekonomi Dunia? (Selesai): Ekonomi Dunia tak Akan Kembali Sama Situasi yang tidak normal memerlukan cara berpikir, bertindak, dan jalan keluar yang tidak normal pula. Cara berpikir lama tidak laku. Kelambanan tidak berguna. Jalan… https://t.co/4wPv5dfL5t https://t.co/Lpea4vgu1t",1
@byxbyss Corona corona teman baikku,0
"Ini sebelum #dirumahaja 
Kangen keluar rumah gua sumpah
#latepost 
251219 https://t.co/GnkGr1zEhP",0
@SetanBelanda @snfcknpt yuk lah abis corona yaa wkwkwk,1
"""SEMOGA TIDAK MENJADI PENYEBAB MAKIN BERTAMBAHNYA WABAH DAN MUSIBAH""

Pemerintah Joko Widodo lagi-lagi gagal menentukan prioritas.
Di tengah wabah Covid-19 dengan jumlah korban yang terus meningkat, pemerintah terus melanjutkan rencana pemindahan ibu kota.
https://t.co/9cT3rusmdU",0
